Vocab,Reading,Meaning
家,いえ,House
部屋,へや,Room
寝室,しんしつ,Bedroom
ベッドルーム,,Bedroom
ダイニングルーム,,Dining Room
居間,いま,Living Room (Western Style)
リビングルーム,,Living Room
台所,だいどころ,Kitchen
キッチン,,Kitchen
台所用品,だいどころようひん,Kitchen Utensils
車庫,しゃこ,Garage
戸棚,とだな,Cupboard
蛇口,じゃぐち,Tap
流し,ながし,Kitchen Sink
洗面台,せんめんだい,Washbasin
風呂場,ふろば,Bathroom
バスルーム,,Bathroom
お手洗い,おてあらい,Toilet
トイレ,,Toilet
玄関,げんかん,Entrance
庭,にわ,Garden
ベランダ,,Balcony
廊下,ろうか,Corridor
階段,かいだん,Stairs
床,ゆか,Floor
畳,たたみ,Japanese Straw Floor Coverings
壁,かべ,Wall
カレンダー,,Calendar
ドア,,Door
鍵,かぎ,Key
窓,まど,Window
カーテン,,Curtain
天井,てんじょう,Ceiling
家具,かぐ,Furniture
押入れ,おしいれ,Closet
箪笥,たんす,Wardrobe
鏡,かがみ,Mirror
テーブル,,Table
椅子,いす,Chair
ソファー,,Sofa
机,つくえ,Desk
絨毯,じゅうたん,Carpet
本棚,ほんだな,Bookshelf
スタンド,,Table Lamp
ベッド,,Bed
布団,ふとん,Japanese-style Bedding
シーツ,,Bedsheet
毛布,もうふ,Blanket
枕,まくら,Pillow
傘立て,かさたて,Umbrella Stand
冷蔵庫,れいぞうこ,Refrigerator
冷凍庫,れいとうこ,Freezer
洗濯機,せんたくき,Washing Machine
乾燥機,かんそうき,Drying Machine
洗濯挟み,せんたくばさみ,Peg
ハンガー,,Clothes Hanger
物干し竿,ものほしざお,Laundry Pole (for drying)
電気掃除機,でんきそうじき,Electric Vacuum Cleaner
皿洗い機,さらあらいき,Dishwasher
テレビ,,Television
ラジオ,,Radio
ステレオ,,Stereo
ビデオ,,Video
アイロン,,(Electric) Iron
アイロン台,アイロンだい,Ironing Board
エアコン,,Air-conditioner
扇風機,せんぷうき,Electric Fan
電気,でんき,Electricity
電灯,でんとう,Electric Light
電子レンジ,でんしレンジ,Microwave Oven
オーブン,,Oven
ストーブ,,Stove
お皿,おさら,Plate
箸,はし,Chopsticks
コップ,,Glass
カップ,,Cup
スプーン,,Spoon
フォーク,,Fork
ナイフ,,Knife
コンピューター,,Computer
パソコン,,Personal Computer
箒,ほうき,Broom
塵取り,ちりとり,Dustpan
ごみ箱,ごみばこ,Rubbish Bin
アパート,,Apartment
和室,わしつ,Japanese-style room
障子,しょうじ,Shoji (Paper sliding door)
縁側,えんがわ,Porch
土間,どま,Room with dirt floor
蔵,くら,Storehouse